Location,Court,Size,Floor,A_S,Price_per_size
20,64,600,3,1,9488
20,64,700,1,1,9075
20,110,600,1,1,7145
26,166,600,2,1,10241
26,166,600,3,1,9830
26,166,700,3,1,10582
26,166,700,3,1,9886
28,42,400,3,1,5642
28,42,400,2,1,6220
28,42,500,2,1,7103
28,42,500,3,1,7469
28,82,500,2,1,5479
28,108,400,1,1,4199
28,108,400,1,1,5117
34,56,700,1,1,9536
38,2,500,2,1,10296
38,2,500,3,1,10530
38,2,600,2,1,10087
38,2,600,3,1,10153
38,3,500,2,1,9146
38,3,600,1,1,9459
38,17,600,1,1,7907
38,17,700,2,1,9936
38,17,700,3,1,10152
38,21,700,2,1,8530
38,26,600,1,1,6503
38,26,600,1,2,6757
38,81,600,3,1,8886
38,81,600,3,1,8920
38,137,500,2,1,6738
38,157,600,2,1,7667
38,172,700,3,1,8977
38,172,700,2,1,8323
42,168,600,3,1,6564
42,168,700,2,1,6694
3,7,500,1,1,7850
3,7,500,2,1,8106
3,7,600,1,1,8438
3,39,700,3,1,8608
3,40,600,1,1,8648
3,40,600,1,1,9324
3,140,400,1,1,5237
3,140,500,1,1,6571
3,140,500,1,1,6765
3,170,500,3,1,7865
29,1,600,2,1,10439
29,143,500,2,1,9152
29,144,500,3,1,9082
29,144,500,1,1,8263
29,144,600,3,1,9905
29,145,500,3,1,9477
29,146,600,3,1,11956
29,146,600,3,1,12516
29,146,700,2,1,11632
1,4,500,2,1,12561
1,4,500,1,1,11437
1,4,600,1,1,10458
1,115,500,2,1,10345
27,85,300,2,1,6796
11,83,600,3,1,10958
5,109,500,2,1,10488
5,109,600,1,1,9665
5,109,600,2,1,10515
5,109,600,3,1,10719
6,131,600,2,1,10246
7,29,600,2,1,8091
7,36,500,1,1,10846
7,36,600,2,1,9935
19,49,500,1,1,10400
40,141,600,1,1,8082
44,19,400,2,1,6771
44,19,500,3,1,7333
44,32,500,1,1,7153
15,139,400,1,1,5176
15,160,400,1,1,10689
15,160,400,2,1,10876
15,160,400,1,1,11563
15,160,400,3,1,11613
15,160,600,3,1,11206
18,44,400,1,1,6089
18,44,500,1,1,6242
18,51,600,3,2,7952
18,52,700,1,1,7134
18,86,600,1,1,10279
18,86,600,3,1,10570
18,86,700,1,1,9506
18,122,500,2,1,6882
18,122,500,1,1,5976
18,122,500,3,1,6765
25,45,500,2,1,9152
45,75,600,1,1,8550
21,6,600,1,2,10135
21,6,600,1,1,11621
21,6,600,1,1,11993
9,11,400,3,1,5249
9,59,500,3,1,6771
9,73,600,3,1,6317
9,155,500,2,1,6848
9,174,500,3,1,7390
9,174,500,1,1,7367
9,174,700,1,1,6281
31,117,500,2,1,8442
31,136,600,1,1,6092
33,22,500,1,1,6262
33,22,600,3,1,7352
33,23,500,3,1,9682
33,23,600,2,1,8496
33,24,500,3,1,5279
33,27,500,2,1,6799
33,116,600,2,1,7750
33,119,500,3,1,5863
33,119,500,3,1,5863
33,152,500,2,1,6253
36,123,500,1,1,6309
36,123,600,3,1,7076
36,123,600,3,1,5804
36,123,600,3,1,6854
36,123,700,3,1,6768
36,124,600,3,1,6286
36,124,600,3,1,6523
36,124,700,1,1,6383
36,124,700,2,1,6383
36,124,700,1,2,6460
36,124,700,2,1,6460
36,124,700,3,1,6768
36,124,700,3,1,6891
36,130,500,2,1,7715
36,130,600,1,1,7037
36,130,600,3,1,8179
36,130,600,3,1,8550
36,130,700,3,1,7429
36,130,700,3,1,7460
36,130,700,1,1,7660
36,130,700,2,1,7767
36,130,700,2,1,7918
41,66,600,2,1,5114
41,88,400,1,1,3322
41,88,500,1,1,4780
41,88,500,2,1,4182
41,88,600,2,1,4945
41,88,800,2,1,4572
41,92,600,3,1,6990
41,92,600,1,1,7348
41,111,600,1,1,7631
41,114,500,1,1,7422
41,114,500,3,1,8418
41,114,600,3,1,6494
41,171,600,1,1,6757
14,79,500,2,1,9437
14,79,600,1,1,7719
14,100,700,1,1,9536
20,12,600,1,1,6454
20,41,500,1,1,5750
20,62,600,3,1,10249
20,62,600,2,1,7958
20,62,600,1,1,8198
20,62,600,3,1,9542
20,62,700,1,1,8760
20,62,700,1,1,9853
20,62,700,2,1,10037
20,62,700,1,1,9689
20,64,700,3,1,9844
20,64,700,2,1,9952
20,65,700,2,1,7879
20,165,500,2,1,5530
26,5,600,1,1,8397
26,97,600,1,1,7035
26,166,600,1,1,10085
26,166,600,2,1,10381
26,166,700,1,1,10459
26,166,700,2,1,10225
28,42,400,1,1,6220
28,82,400,1,1,5089
28,82,500,3,1,5310
28,82,600,1,1,6012
34,56,700,2,1,9075
38,2,500,2,1,9594
38,2,500,2,1,10632
38,2,500,3,1,11107
38,2,600,1,1,11304
38,3,500,3,1,9244
38,3,600,2,1,9848
38,3,600,3,1,9881
38,3,600,3,1,9915
